ID,SOLVER,FASE,RUN,TIEMPO,Z,STATUS,SUMMARY,NOTES
fase1_scip_run18,scip,fase1,18,0.0260000000,8311.0400000000,0,,
fase1_scip_run19,scip,fase1,19,0.0240000000,8311.0400000000,0,,
fase1_scip_run20,scip,fase1,20,0.0260000000,8311.0400000000,0,,
fase1_scip_run21,scip,fase1,21,0.0240000000,8311.0400000000,0,,
fase1_scip_run22,scip,fase1,22,0.0280000000,8311.0400000000,0,,
fase1_scip_run23,scip,fase1,23,0.0240000000,8311.0400000000,0,,
fase1_scip_run24,scip,fase1,24,0.0270000000,8311.0400000000,0,,
fase1_scip_run25,scip,fase1,25,0.0250000000,8311.0400000000,0,,
fase1_scip_run26,scip,fase1,26,0.0260000000,8311.0400000000,0,,
fase1_scip_run27,scip,fase1,27,0.0280000000,8311.0400000000,0,,
fase1_scip_run28,scip,fase1,28,0.0270000000,8311.0400000000,0,,
fase1_scip_run29,scip,fase1,29,0.0260000000,8311.0400000000,0,,
fase1_scip_run30,scip,fase1,30,0.0270000000,8311.0400000000,0,,
fase1_scip_run31,scip,fase1,31,0.0270000000,8311.0400000000,0,,
fase1_scip_run32,scip,fase1,32,0.0270000000,8311.0400000000,0,,
fase1_scip_run33,scip,fase1,33,0.0260000000,8311.0400000000,0,,
fase1_scip_run34,scip,fase1,34,0.0260000000,8311.0400000000,0,,
fase1_scip_run35,scip,fase1,35,0.0260000000,8311.0400000000,0,,
fase1_scip_run36,scip,fase1,36,0.0270000000,8311.0400000000,0,,
fase1_scip_run37,scip,fase1,37,0.0250000000,8311.0400000000,0,,
fase1_scip_run38,scip,fase1,38,0.0250000000,8311.0400000000,0,,
fase1_scip_run39,scip,fase1,39,0.0270000000,8311.0400000000,0,,
fase1_scip_run40,scip,fase1,40,0.0240000000,8311.0400000000,0,,
fase1_scip_run41,scip,fase1,41,0.0260000000,8311.0400000000,0,,
fase1_scip_run42,scip,fase1,42,0.0290000000,8311.0400000000,0,,
fase1_scip_run43,scip,fase1,43,0.0260000000,8311.0400000000,0,,
fase1_scip_run44,scip,fase1,44,0.0240000000,8311.0400000000,0,,
fase1_scip_run45,scip,fase1,45,0.0270000000,8311.0400000000,0,,
fase1_scip_run46,scip,fase1,46,0.0240000000,8311.0400000000,0,,
fase1_scip_run47,scip,fase1,47,0.0280000000,8311.0400000000,0,,
fase1_scip_run48,scip,fase1,48,0.0250000000,8311.0400000000,0,,
fase1_scip_run49,scip,fase1,49,0.0280000000,8311.0400000000,0,,
fase1_scip_run50,scip,fase1,50,0.0280000000,8311.0400000000,0,,
fase1_sat_run1,sat,fase1,1,0.0340000000,8311.0400000000,0,,
fase1_sat_run2,sat,fase1,2,0.0340000000,8311.0400000000,0,,
fase1_sat_run3,sat,fase1,3,0.0380000000,8311.0400000000,0,,
fase1_sat_run4,sat,fase1,4,0.0390000000,8311.0400000000,0,,
fase1_sat_run5,sat,fase1,5,0.0370000000,8311.0400000000,0,,
fase1_sat_run6,sat,fase1,6,0.0390000000,8311.0400000000,0,,
fase1_sat_run7,sat,fase1,7,0.0220000000,8311.0400000000,0,,
fase1_sat_run8,sat,fase1,8,0.0370000000,8311.0400000000,0,,
fase1_sat_run9,sat,fase1,9,0.0390000000,8311.0400000000,0,,
fase1_sat_run10,sat,fase1,10,0.0410000000,8311.0400000000,0,,
fase1_sat_run11,sat,fase1,11,0.0380000000,8311.0400000000,0,,
fase1_sat_run12,sat,fase1,12,0.0390000000,8311.0400000000,0,,
fase1_sat_run13,sat,fase1,13,0.0380000000,8311.0400000000,0,,
fase1_sat_run14,sat,fase1,14,0.0390000000,8311.0400000000,0,,
fase1_sat_run15,sat,fase1,15,0.0310000000,8311.0400000000,0,,
fase1_sat_run16,sat,fase1,16,0.0320000000,8311.0400000000,0,,
fase1_sat_run17,sat,fase1,17,0.0400000000,8311.0400000000,0,,
fase1_sat_run18,sat,fase1,18,0.0380000000,8311.0400000000,0,,
fase1_sat_run19,sat,fase1,19,0.0340000000,8311.0400000000,0,,
fase1_sat_run20,sat,fase1,20,0.0330000000,8311.0400000000,0,,
fase1_sat_run21,sat,fase1,21,0.0350000000,8311.0400000000,0,,
fase1_sat_run22,sat,fase1,22,0.0390000000,8311.0400000000,0,,
fase1_sat_run23,sat,fase1,23,0.0390000000,8311.0400000000,0,,
fase1_sat_run24,sat,fase1,24,0.0380000000,8311.0400000000,0,,
fase1_sat_run25,sat,fase1,25,0.0390000000,8311.0400000000,0,,
fase1_sat_run26,sat,fase1,26,0.0400000000,8311.0400000000,0,,
fase1_sat_run27,sat,fase1,27,0.0260000000,8311.0400000000,0,,
fase1_sat_run28,sat,fase1,28,0.0380000000,8311.0400000000,0,,
fase1_sat_run29,sat,fase1,29,0.0290000000,8311.0400000000,0,,
fase1_sat_run30,sat,fase1,30,0.0330000000,8311.0400000000,0,,
fase1_sat_run31,sat,fase1,31,0.0390000000,8311.0400000000,0,,
fase1_sat_run32,sat,fase1,32,0.0310000000,8311.0400000000,0,,
fase1_sat_run33,sat,fase1,33,0.0330000000,8311.0400000000,0,,
fase1_sat_run34,sat,fase1,34,0.0390000000,8311.0400000000,0,,
fase1_sat_run35,sat,fase1,35,0.0390000000,8311.0400000000,0,,
fase1_sat_run36,sat,fase1,36,0.0320000000,8311.0400000000,0,,
fase1_sat_run37,sat,fase1,37,0.0380000000,8311.0400000000,0,,
fase1_sat_run38,sat,fase1,38,0.0320000000,8311.0400000000,0,,
fase1_sat_run39,sat,fase1,39,0.0310000000,8311.0400000000,0,,
fase1_sat_run40,sat,fase1,40,0.0320000000,8311.0400000000,0,,
fase1_sat_run41,sat,fase1,41,0.0350000000,8311.0400000000,0,,
fase1_sat_run42,sat,fase1,42,0.0330000000,8311.0400000000,0,,
fase1_sat_run43,sat,fase1,43,0.0390000000,8311.0400000000,0,,
fase1_sat_run44,sat,fase1,44,0.0290000000,8311.0400000000,0,,
fase1_sat_run45,sat,fase1,45,0.0390000000,8311.0400000000,0,,
fase1_sat_run46,sat,fase1,46,0.0390000000,8311.0400000000,0,,
fase1_sat_run47,sat,fase1,47,0.0320000000,8311.0400000000,0,,
fase1_sat_run48,sat,fase1,48,0.0380000000,8311.0400000000,0,,
fase1_sat_run49,sat,fase1,49,0.0390000000,8311.0400000000,0,,
fase1_sat_run50,sat,fase1,50,0.0310000000,8311.0400000000,0,,
fase1_cbc_run1,cbc,fase1,1,0.0370000000,8311.0400000000,0,,
fase1_cbc_run2,cbc,fase1,2,0.0360000000,8311.0400000000,0,,
fase1_cbc_run3,cbc,fase1,3,0.0360000000,8311.0400000000,0,,
fase1_cbc_run4,cbc,fase1,4,0.0360000000,8311.0400000000,0,,
fase1_cbc_run5,cbc,fase1,5,0.0360000000,8311.0400000000,0,,
fase1_cbc_run6,cbc,fase1,6,0.0360000000,8311.0400000000,0,,
